input,output
<kqwa-apakqwa>Kn,kqwaM ca apakqwaM ca
<Bukwa-viBukwa>Kn,BukwaM ca viBukwaM ca
<pIwa-vipIwa>Kn,pIwaM ca vipIwaM ca
<gawa-prawyAgawa>Kn,gawaM ca prawyAgawaM ca
<yAwa-anuyAwa>Kn,yAwaM ca anuyAwaM ca
<kraya-akrayikA>Kn,krayikA ca akrayikA ca
<puta-aputikA>Kn,putikA ca aputikA ca
<Pala-aPalikA>Kn,PalikA ca aPalikA ca
<mAna-unmAnikA>Kn,mAnikA ca unmAnikA ca
