input,output
<SAka-pArWivaH>Km,SAkapriyaH pArWivaH
<xeva-brAhmaNaH>Km,xevapUjako brAhmaNaH
<kuwapa-sOSruwa>Km,kuwapapuruRaH sOSruwaH
<ajA-wOlvali>Km,ajayA upajIvI wOlvaliH
